0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:51 +0700] "GET /MyWeb_2020/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:52 +0700] "GET /MyWeb_2020/images/move-up.png HTTP/1.1" 200 3094
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:52 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:54 +0700] "GET /MyWeb_2020/ControllerShopping?action=checkUser HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:54 +0700] "GET /MyWeb_2020/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:54 +0700] "GET /MyWeb_2020/css/styleLogin2.css HTTP/1.1" 200 24929
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:04:55 +0700] "GET /MyWeb_2020/images/g6.jpg HTTP/1.1" 200 124129
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:15 +0700] "POST /MyWeb_2020/ControllerShopping?action=login HTTP/1.1" 200 19384
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newcss/bootstrap.css HTTP/1.1" 200 141598
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newcss/style.css HTTP/1.1" 200 176296
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newcss/font-awesome.css HTTP/1.1" 200 29062
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newcss/SidebarNav.min.css HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newjs/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/ControllerAdmin?action=hasAdmin HTTP/1.1" 200 24667
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newjs/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newjs/modernizr.custom.js HTTP/1.1" 200 7671
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newjs/custom.js HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newjs/classie.js HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newjs/SidebarNav.min.js HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/newjs/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/images/search-icon.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:19 +0700] "GET /MyWeb_2020/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:23 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:23 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:23 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
