127.0.0.1 - - [26/Feb/2020:15:51:51 +0700] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:55 +0700] "GET /MyWeb_2020/css/style.css HTTP/1.1" 200 105641
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:55 +0700] "GET /MyWeb_2020/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/css/popuo-box.css HTTP/1.1" 200 7217
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/css/jquery-ui1.css HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/images/logo2.png HTTP/1.1" 200 18864
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/imageProduct/image1_1.jpg HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/index.jsp HTTP/1.1" 200 50521
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/imageProduct/image2_1.jpg HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/imageProduct/image3_1.jpg HTTP/1.1" 200 3058
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/js/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/js/jquery.flexisel.js HTTP/1.1" 200 8129
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/js/easing.js HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/js/SmoothScroll.min.js HTTP/1.1" 200 13797
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/imageProduct/image4_1.jpg HTTP/1.1" 200 4254
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/js/jquery.magnific-popup.js HTTP/1.1" 200 45732
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/imageProduct/image6_1.jpg HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/imageProduct/image5_1.jpg HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/imageProduct/image7_1.jpg HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/imageProduct/image8_1.jpg HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [26/Feb/2020:15:51:56 +0700] "GET /MyWeb_2020/imageProduct/image9_1.jpg HTTP/1.1" 200 5311
